"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Hipk2",1.54220184890775e-29,0.697198317666873,0.903,0.523,4.97946132975336e-25
"6","Glra2",1.6622849724262e-29,0.528637307558982,0.613,0.225,5.3671857189697e-25
"6","Sh3pxd2b",1.7698084144693e-29,0.405029213573948,0.452,0.13,5.71435740863847e-25
"6","Dip2b",2.13597796336882e-29,0.621137774050959,0.968,0.809,6.89664564812524e-25
"6","Dmd",2.34201348614575e-29,0.5694950566176,1,0.975,7.56189314406741e-25
"6","Inf2",3.0536350105732e-29,0.344017209051289,0.355,0.085,9.85957672213875e-25
"6","Pkp4",3.32619857877363e-29,0.664315261985033,0.987,0.878,1.07396299711443e-24
"6","Rbfox1",5.52344949181425e-29,0.581400284346905,1,0.993,1.78341137191699e-24
"6","B3gat1",7.57011368644655e-29,0.648737159580682,0.813,0.446,2.44423830707986e-24
"6","Tcirg1",7.60982690852943e-29,0.283714374739246,0.335,0.075,2.45706091222598e-24
"6","Abcb9",9.41809972661325e-29,0.41223150719848,0.561,0.194,3.04091603972889e-24
"6","Asap1",1.28422757861925e-28,0.64822715313148,0.981,0.856,4.14651400584585e-24
"6","6430548M08Rik",1.53409135019861e-28,0.637811778861955,0.781,0.413,4.95327415152127e-24
"6","Rgs11",1.61300387307491e-28,0.417541990689222,0.516,0.171,5.20806690538426e-24
"6","Mical3",2.00243544247723e-28,0.561308368367326,0.994,0.954,6.46546355667049e-24
"6","Ncam1",2.0251725274741e-28,0.611892546475147,0.994,0.892,6.53887705670837e-24
"6","Kcnmb4os2",2.44109154598955e-28,0.298394764931328,0.361,0.086,7.88179638369107e-24
"6","Hs3st2",4.43948201077051e-28,0.695469818433033,0.839,0.433,1.43341995163758e-23
"6","Htr2a",4.72678158894062e-28,0.428703793979087,0.613,0.214,1.52618323943715e-23
"6","Dlg5",5.09132536571348e-28,0.479027868555055,0.69,0.295,1.64388713408157e-23
"6","Vopp1",5.42320602977466e-28,0.526267360562757,0.787,0.402,1.75104476289364e-23
"6","Gm49980",6.61836982666574e-28,0.524625108081396,0.639,0.253,2.13693924963383e-23
"6","Cacna1e",9.48658200656299e-28,0.631953114848313,1,0.915,3.06302759827906e-23
"6","Caln1",1.0499502991019e-27,0.622471816222111,0.994,0.942,3.39007952574021e-23
"6","Lhfpl3",1.18268872024879e-27,0.739382094386258,0.948,0.626,3.81866533993928e-23
"6","Tcf20",1.43663617788432e-27,0.635535779357073,0.968,0.848,4.63861089115289e-23
"6","Dscam",2.04743255598732e-27,0.62442875471094,0.994,0.89,6.61075023677184e-23
"6","Cacna1a",2.05676151692114e-27,0.582825598390156,0.987,0.923,6.64087158583498e-23
"6","E230016M11Rik",4.64809569507851e-27,0.401835156873487,0.432,0.131,1.50077713802695e-22
"6","Reck",4.65890845281151e-27,0.429788750633368,0.574,0.217,1.50426836124378e-22
"6","Stambpl1",7.25492782148391e-27,0.562640226013749,0.626,0.261,2.34247109500073e-22
"6","Peli2",8.95691077399815e-27,0.363878484470219,0.484,0.153,2.89200735070852e-22
"6","Gm48957",9.386348323291e-27,0.453932713011359,0.581,0.218,3.0306641466242e-22
"6","Atp8a2",1.02593631350493e-26,0.596574268532924,0.968,0.871,3.31254316904473e-22
"6","Snhg11",1.08095091249835e-26,0.387298265780937,1,0.995,3.49017430627466e-22
"6","Tnr",1.83959712744258e-26,0.564334999771224,0.994,0.965,5.9396912050866e-22
"6","Tmem150c",2.21593565698374e-26,0.618623095614085,0.748,0.386,7.1548130492691e-22
"6","Ldlr",3.427237341317e-26,0.336585442737126,0.4,0.111,1.10658639276443e-21
"6","Mapk8",5.15540529820011e-26,0.687473848387532,0.871,0.657,1.66457726268285e-21
"6","Pclo",5.355120499872e-26,0.523326675346862,0.987,0.974,1.72906130699867e-21
"6","Arhgap26",6.31498611531212e-26,0.603655870144633,0.981,0.843,2.03898271691198e-21
"6","Pgm2",8.56104258262249e-26,0.397586107630999,0.51,0.177,2.76418942907715e-21
"6","Gm10754",1.13699436146869e-25,0.359537838230084,0.4,0.111,3.67112739431012e-21
"6","Igf1r",1.28942714956247e-25,0.600252059775798,0.961,0.851,4.16330238050731e-21
"6","Dusp15",1.35134721878875e-25,0.379723468609892,0.439,0.138,4.36322990002512e-21
"6","Hecw2",1.46536204464558e-25,0.5924775000692,0.994,0.903,4.73136096975164e-21
"6","Abcb1b",1.4873738646546e-25,0.279762102174534,0.426,0.125,4.80243273419677e-21
"6","Fmn1",1.51062505245119e-25,0.586770943214786,0.794,0.406,4.87750616935441e-21
